STATISTIC,Statistic Label,C02404V02898,Fuel Type,TLIST(A1),Year,UNIT,VALUE
SEI02,Primary Energy Production,0508,Solar,1998,1998,ktoe,0
SEI02,Primary Energy Production,0508,Solar,1999,1999,ktoe,0
SEI02,Primary Energy Production,0508,Solar,2000,2000,ktoe,0
SEI02,Primary Energy Production,0508,Solar,2001,2001,ktoe,0
SEI02,Primary Energy Production,0508,Solar,2002,2002,ktoe,0
SEI02,Primary Energy Production,0508,Solar,2003,2003,ktoe,0
SEI02,Primary Energy Production,0508,Solar,2004,2004,ktoe,0
SEI02,Primary Energy Production,0508,Solar,2005,2005,ktoe,0
SEI02,Primary Energy Production,0508,Solar,2006,2006,ktoe,1
SEI02,Primary Energy Production,0508,Solar,2007,2007,ktoe,1
SEI02,Primary Energy Production,0508,Solar,2008,2008,ktoe,3
SEI02,Primary Energy Production,0508,Solar,2009,2009,ktoe,5
SEI02,Primary Energy Production,0508,Solar,2010,2010,ktoe,8
SEI02,Primary Energy Production,0508,Solar,2011,2011,ktoe,9
SEI02,Primary Energy Production,0508,Solar,2012,2012,ktoe,9
SEI02,Primary Energy Production,0508,Solar,2013,2013,ktoe,10
SEI02,Primary Energy Production,0508,Solar,2014,2014,ktoe,11
SEI02,Primary Energy Production,0508,Solar,2015,2015,ktoe,12
SEI02,Primary Energy Production,0508,Solar,2016,2016,ktoe,13
SEI02,Primary Energy Production,0508,Solar,2017,2017,ktoe,13
SEI02,Primary Energy Production,0508,Solar,2018,2018,ktoe,15
SEI02,Primary Energy Production,0508,Solar,2019,2019,ktoe,17
SEI02,Primary Energy Production,0508,Solar,2020,2020,ktoe,19
SEI02,Primary Energy Production,0508,Solar,2021,2021,ktoe,21
SEI02,Primary Energy Production,0508,Solar,2022,2022,ktoe,27
SEI02,Primary Energy Production,0508,Solar,2023,2023,ktoe,70
SEI02,Primary Energy Production,0509,Geothermal,1990,1990,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1991,1991,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1992,1992,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1993,1993,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1994,1994,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1995,1995,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1996,1996,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1997,1997,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1998,1998,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,1999,1999,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,2000,2000,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,2001,2001,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,2002,2002,ktoe,0
SEI02,Primary Energy Production,0509,Geothermal,2003,2003,ktoe,1
SEI02,Primary Energy Production,0509,Geothermal,2004,2004,ktoe,2
SEI02,Primary Energy Production,0509,Geothermal,2005,2005,ktoe,4
SEI02,Primary Energy Production,0509,Geothermal,2006,2006,ktoe,7
SEI02,Primary Energy Production,0509,Geothermal,2007,2007,ktoe,10
SEI02,Primary Energy Production,0509,Geothermal,2008,2008,ktoe,13
SEI02,Primary Energy Production,0509,Geothermal,2009,2009,ktoe,14
SEI02,Primary Energy Production,0509,Geothermal,2010,2010,ktoe,16
SEI02,Primary Energy Production,0509,Geothermal,2011,2011,ktoe,17
SEI02,Primary Energy Production,0509,Geothermal,2012,2012,ktoe,19
SEI02,Primary Energy Production,0509,Geothermal,2013,2013,ktoe,20
SEI02,Primary Energy Production,0509,Geothermal,2014,2014,ktoe,23
SEI02,Primary Energy Production,0509,Geothermal,2015,2015,ktoe,27
SEI02,Primary Energy Production,0509,Geothermal,2016,2016,ktoe,32
SEI02,Primary Energy Production,0509,Geothermal,2017,2017,ktoe,38
SEI02,Primary Energy Production,0509,Geothermal,2018,2018,ktoe,41
SEI02,Primary Energy Production,0509,Geothermal,2019,2019,ktoe,47
SEI02,Primary Energy Production,0509,Geothermal,2020,2020,ktoe,56
SEI02,Primary Energy Production,0509,Geothermal,2021,2021,ktoe,65
SEI02,Primary Energy Production,0509,Geothermal,2022,2022,ktoe,81
SEI02,Primary Energy Production,0509,Geothermal,2023,2023,ktoe,96
SEI02,Primary Energy Production,10,Non renewable waste,1990,1990,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1991,1991,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1992,1992,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1993,1993,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1994,1994,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1995,1995,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1996,1996,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1997,1997,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1998,1998,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,1999,1999,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2000,2000,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2001,2001,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2002,2002,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2003,2003,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2004,2004,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2005,2005,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2006,2006,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2007,2007,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2008,2008,ktoe,
SEI02,Primary Energy Production,10,Non renewable waste,2009,2009,ktoe,13
SEI02,Primary Energy Production,10,Non renewable waste,2010,2010,ktoe,9
SEI02,Primary Energy Production,10,Non renewable waste,2011,2011,ktoe,14
SEI02,Primary Energy Production,10,Non renewable waste,2012,2012,ktoe,46
SEI02,Primary Energy Production,10,Non renewable waste,2013,2013,ktoe,61
SEI02,Primary Energy Production,10,Non renewable waste,2014,2014,ktoe,66
SEI02,Primary Energy Production,10,Non renewable waste,2015,2015,ktoe,69
SEI02,Primary Energy Production,10,Non renewable waste,2016,2016,ktoe,67
SEI02,Primary Energy Production,10,Non renewable waste,2017,2017,ktoe,113
SEI02,Primary Energy Production,10,Non renewable waste,2018,2018,ktoe,145
SEI02,Primary Energy Production,10,Non renewable waste,2019,2019,ktoe,145
SEI02,Primary Energy Production,10,Non renewable waste,2020,2020,ktoe,147
SEI02,Primary Energy Production,10,Non renewable waste,2021,2021,ktoe,143
SEI02,Primary Energy Production,10,Non renewable waste,2022,2022,ktoe,148
SEI02,Primary Energy Production,10,Non renewable waste,2023,2023,ktoe,168
